ratioD	ratio_off_off
100.00	61.29
54.16	3.22
100.00	67.74
100.00	67.74
100.00	64.51
100.00	61.29
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
100.00	66.12
100.00	66.12
100.00	64.51
100.00	61.29
54.16	3.22
100.00	66.12
100.00	66.12
100.00	64.51
100.00	61.29
54.16	3.22
100.00	48.38
95.83	25.80
83.33	16.12
70.83	11.29
54.16	3.22
100.00	69.35
100.00	67.74
100.00	64.51
100.00	61.29
54.16	3.22
100.00	69.35
100.00	67.74
100.00	64.51
100.00	61.29
54.16	3.22
100.00	48.38
95.83	25.80
83.33	16.12
70.83	11.29
54.16	3.22
100.00	69.35
100.00	67.74
100.00	64.51
100.00	61.29
54.16	3.22
100.00	69.35
100.00	67.74
100.00	64.51
100.00	61.29
54.16	3.22
95.83	25.80
95.83	25.80
83.33	16.12
70.83	11.29
54.16	3.22
100.00	67.74
100.00	67.74
100.00	64.51
100.00	61.29
54.16	3.22
100.00	67.74
100.00	67.74
100.00	64.51
100.00	61.29
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
100.00	66.12
100.00	66.12
100.00	64.51
100.00	61.29
54.16	3.22
100.00	66.12
100.00	66.12
100.00	64.51
100.00	61.29
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	25.80
95.83	25.80
83.33	16.12
70.83	11.29
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
95.83	25.80
95.83	25.80
83.33	16.12
70.83	11.29
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
95.83	25.80
95.83	25.80
83.33	16.12
70.83	11.29
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
54.16	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
54.16	3.22
95.83	25.80
95.83	25.80
83.33	16.12
70.83	11.29
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
95.83	25.80
95.83	25.80
83.33	16.12
70.83	11.29
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
95.83	25.80
95.83	25.80
83.33	16.12
70.83	11.29
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
54.16	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
54.16	3.22
95.83	25.80
95.83	25.80
83.33	16.12
70.83	11.29
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
95.83	25.80
95.83	25.80
83.33	16.12
70.83	11.29
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
95.83	25.80
95.83	25.80
83.33	16.12
70.83	11.29
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
100.00	46.77
100.00	46.77
100.00	45.16
100.00	41.93
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
54.16	3.22
100.00	45.16
100.00	45.16
100.00	45.16
100.00	41.93
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
75.00	14.51
75.00	14.51
75.00	14.51
70.83	11.29
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
95.83	24.19
95.83	24.19
95.83	24.19
91.66	22.58
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
83.33	16.12
83.33	16.12
83.33	16.12
70.83	11.29
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
95.83	29.03
95.83	29.03
95.83	29.03
95.83	27.41
54.16	3.22
