ratioD	ratio_off_off
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
94.28	41.93
88.57	25.80
80.00	16.12
60.00	11.29
42.85	3.22
97.14	53.22
97.14	50.00
97.14	46.77
94.28	41.93
42.85	3.22
97.14	53.22
97.14	50.00
97.14	46.77
94.28	41.93
42.85	3.22
94.28	41.93
88.57	25.80
80.00	16.12
60.00	11.29
42.85	3.22
97.14	53.22
97.14	50.00
97.14	46.77
94.28	41.93
42.85	3.22
97.14	53.22
97.14	50.00
97.14	46.77
94.28	41.93
42.85	3.22
88.57	25.80
88.57	25.80
80.00	16.12
60.00	11.29
42.85	3.22
97.14	50.00
97.14	50.00
97.14	46.77
94.28	41.93
42.85	3.22
97.14	50.00
97.14	50.00
97.14	46.77
94.28	41.93
42.85	3.22
80.00	16.12
80.00	16.12
80.00	16.12
60.00	11.29
42.85	3.22
97.14	48.38
97.14	48.38
97.14	46.77
94.28	41.93
42.85	3.22
97.14	48.38
97.14	48.38
97.14	46.77
94.28	41.93
42.85	3.22
94.28	48.38
88.57	25.80
80.00	16.12
60.00	11.29
42.85	3.22
100.00	75.80
100.00	75.80
100.00	67.74
100.00	64.51
42.85	3.22
100.00	75.80
100.00	75.80
100.00	67.74
100.00	64.51
42.85	3.22
94.28	48.38
88.57	25.80
80.00	16.12
60.00	11.29
42.85	3.22
100.00	75.80
100.00	75.80
100.00	67.74
100.00	64.51
42.85	3.22
100.00	75.80
100.00	75.80
100.00	67.74
100.00	64.51
42.85	3.22
88.57	25.80
88.57	25.80
80.00	16.12
60.00	11.29
42.85	3.22
100.00	75.80
100.00	75.80
100.00	67.74
100.00	64.51
42.85	3.22
100.00	75.80
100.00	75.80
100.00	67.74
100.00	64.51
42.85	3.22
80.00	16.12
80.00	16.12
80.00	16.12
60.00	11.29
42.85	3.22
100.00	74.19
100.00	74.19
100.00	67.74
100.00	64.51
42.85	3.22
100.00	74.19
100.00	74.19
100.00	67.74
100.00	64.51
42.85	3.22
94.28	48.38
88.57	25.80
80.00	16.12
60.00	11.29
42.85	3.22
100.00	79.03
100.00	77.41
100.00	72.58
100.00	64.51
42.85	3.22
100.00	79.03
100.00	77.41
100.00	72.58
100.00	64.51
42.85	3.22
94.28	48.38
88.57	25.80
80.00	16.12
60.00	11.29
42.85	3.22
100.00	79.03
100.00	77.41
100.00	72.58
100.00	64.51
42.85	3.22
100.00	79.03
100.00	77.41
100.00	72.58
100.00	64.51
42.85	3.22
88.57	25.80
88.57	25.80
80.00	16.12
60.00	11.29
42.85	3.22
100.00	77.41
100.00	77.41
100.00	72.58
100.00	64.51
42.85	3.22
100.00	77.41
100.00	77.41
100.00	72.58
100.00	64.51
42.85	3.22
80.00	16.12
80.00	16.12
80.00	16.12
60.00	11.29
42.85	3.22
100.00	75.80
100.00	75.80
100.00	72.58
100.00	64.51
42.85	3.22
100.00	75.80
100.00	75.80
100.00	72.58
100.00	64.51
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
71.42	14.51
71.42	14.51
71.42	14.51
60.00	11.29
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
91.42	24.19
91.42	24.19
91.42	24.19
88.57	22.58
42.85	3.22
94.28	41.93
88.57	25.80
80.00	16.12
60.00	11.29
42.85	3.22
97.14	53.22
97.14	50.00
97.14	46.77
94.28	41.93
42.85	3.22
97.14	53.22
97.14	50.00
97.14	46.77
94.28	41.93
42.85	3.22
94.28	41.93
88.57	25.80
80.00	16.12
60.00	11.29
42.85	3.22
97.14	53.22
97.14	50.00
97.14	46.77
94.28	41.93
42.85	3.22
97.14	53.22
97.14	50.00
97.14	46.77
94.28	41.93
42.85	3.22
88.57	25.80
88.57	25.80
80.00	16.12
60.00	11.29
42.85	3.22
97.14	50.00
97.14	50.00
97.14	46.77
94.28	41.93
42.85	3.22
97.14	50.00
97.14	50.00
97.14	46.77
94.28	41.93
42.85	3.22
80.00	16.12
80.00	16.12
80.00	16.12
60.00	11.29
42.85	3.22
97.14	48.38
97.14	48.38
97.14	46.77
94.28	41.93
42.85	3.22
97.14	48.38
97.14	48.38
97.14	46.77
94.28	41.93
42.85	3.22
94.28	48.38
88.57	25.80
80.00	16.12
60.00	11.29
42.85	3.22
100.00	69.35
100.00	67.74
100.00	64.51
100.00	61.29
42.85	3.22
100.00	69.35
100.00	67.74
100.00	64.51
100.00	61.29
42.85	3.22
94.28	48.38
88.57	25.80
80.00	16.12
60.00	11.29
42.85	3.22
